ID,SUBE,MAAS,YAS,CINSIYET,MOBIL BANKACILIK
569,S45,15508,66,51,E,1
570,S45,12817,44,51,E,1
571,S45,16334,23,56,E,1
572,S45,17526,09,46,E,1
573,S45,27319,53,47,E,1
574,S45,13209,32,41,E,1
575,S45,34101,59,40,K,1
576,S45,12473,48,44,E,1
577,S45,44300,48,36,E,1
578,S45,21075,82,32,E,1
579,S45,11301,64,37,K,1
580,S45,23020,51,29,E,1
581,S45,13277,96,33,E,1
582,S45,11137,22,33,E,1
583,S45,11755,36,44,E,1
584,S45,10968,97,34,E,1
585,S45,10041,73,35,E,1
586,S45,11945,4,45,E,1
587,S45,20352,31,27,E,1
588,S45,19568,38,26,E,1
589,S45,6217,38,29,E,1
590,S45,15074,52,38,E,1
591,S45,13139,93,31,E,1
592,S45,18191,76,33,K,1
593,S45,24141,65,27,E,1
594,S45,36581,47,64,E,1
595,S45,5500,35,33,E,0
596,S45,22691,27,31,E,1
597,S46,8090,07,71,E,0
598,S46,7047,7,70,E,0
599,S46,9220,08,43,K,0
600,S46,12034,34,46,E,1
601,S46,10615,87,48,E,1
602,S46,15201,11,45,E,1
603,S46,18536,42,45,K,1
604,S46,13468,33,50,E,1
605,S46,10549,47,44,E,1
606,S46,7372,71,43,K,0
607,S46,15296,35,36,E,1
608,S46,9812,16,36,E,0
609,S46,8495,49,27,E,1
610,S46,18777,64,49,K,1
611,S46,7099,48,39,E,0
612,S46,11501,87,34,E,1
613,S46,9717,4,37,E,0
614,S47,6053,27,77,E,0
615,S47,18584,07,66,E,0
616,S47,8549,53,55,K,0
617,S47,12164,4,57,E,1
618,S47,7495,17,63,K,0
619,S47,12935,14,44,E,1
620,S47,11886,99,49,K,1
621,S47,11085,41,62,E,1
622,S47,12631,38,57,E,1
623,S47,18565,65,40,E,1
624,S47,12490,85,64,K,0
625,S47,9038,97,29,K,1
626,S47,10924,39,48,K,1
627,S47,13358,97,48,E,1
628,S47,12941,7,26,E,1
629,S47,9045,86,23,E,1
630,S48,15343,35,50,E,1
631,S48,10813,44,53,E,1
632,S48,16297,43,E,1
633,S48,12127,74,47,K,1
634,S48,12438,13,46,E,0
635,S48,15778,28,33,E,1
636,S48,13235,94,32,E,1
637,S48,8273,86,47,E,0
638,S48,12535,33,33,E,1
639,S48,10022,74,51,E,1
640,S48,23243,14,27,E,1
641,S48,10672,85,37,K,1
642,S48,22980,49,32,E,1
643,S49,12995,8,48,E,1
644,S49,5769,82,65,E,0
645,S49,5400,77,72,E,0
646,S49,13970,69,37,E,1
647,S49,8414,04,46,E,0
